city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Vaduz,0.26044620142518005,0.26044620124331375,1059394.1980323463,5963924.685910614,0.7035502118957392,-3.586331720602257
Klaipeda,0.26044620142518005,0.2604462014176021,2351056.513604858,7502955.365876916,0.31348730497572136,-5.8357074581432276
Vilnius,0.26044620142518005,0.26044620142517955,2818231.0206169887,7300661.381083198,0.07960624810594369,-5.795622520424894
Siauliai,0.26044620142518005,0.26044619975780653,2596527.122753106,7546202.349830315,0.20888300934862208,-5.982846871494068
Kaunas,0.26044620142518005,0.2604462014251742,2658309.440143372,7352245.7089611525,0.15750766512754838,-5.789475584909887
Panevezys,0.26044620142518005,0.2604462011237488,2712855.990632078,7506830.163816889,0.15199048052306435,-5.9852383333119565
Diekirch,0.26044620142518005,0.2590541670302787,686473.9038748804,6426089.932192703,0.9270119735353484,-3.9565382671633293
Grevenmacher,0.26044620142518005,0.2595975716456434,705019.7310410405,6394482.317900557,0.9148444552121893,-3.9284277080557994
Luxembourg,0.26044620142518005,0.2595337414496268,682388.478562767,6379298.722272802,0.9231194120773625,-3.902268450526169
Daugavpils,0.26044620142518005,0.2604462002144291,2951079.7009296827,7534564.044063807,0.04873357274451445,-6.112020852305903
Ventspils,0.26044620142518005,0.2600100435927468,2400115.013197456,7840231.952266772,0.332766210889666,-6.234759374835473
Riga,0.26044620142518005,0.2604270067504395,2682799.728117893,7749905.9659611825,0.1951688679217512,-6.2465887446546695
Liepaga,0.26044620142518005,0.26044607648680723,2338822.501566677,7660619.4466461865,0.3382430562001432,-6.008138366000457
Jelgava,0.26044620142518005,0.26044395902537076,2639696.8212827384,7689462.376160315,0.2070742947857776,-6.1613069786443155
Monaco,0.26044620142518005,0.26044620142518,824532.3363566984,5425232.718554642,0.7428232420368744,-2.8861748786832586
Podgorica,0.26044620142518005,0.2603790837561724,2144714.705470446,5231041.611723426,0.12805787030220422,-3.1974745575194468
Skopje,0.26044620142518005,0.26007512984712616,2385966.305917628,5160979.444049783,0.01148714674675494,-3.2154714836652123
Bitola,0.26044620142518005,0.2604386387545477,2375502.2737830617,5018110.616673192,-0.001297997838675513,-3.0505745873371723
Tetovo,0.26044620142518005,0.2602271199476071,2334380.853884027,5162357.659070327,0.03474948075821732,-3.19632296235832
Maastricht,0.26044620142518005,0.2579077516480021,631960.7492334138,6595332.201458038,0.9721110346452451,-4.125027705239637
Amsterdam,0.26044620142518005,0.26041565994253474,547313.4084342078,6863659.039714891,1.0428164333958088,-4.392875621380062
The Hague,0.26044620142518005,0.25980145565690627,475334.22568727686,6814603.426035637,1.0690417072707714,-4.308816353654786
Haarlem,0.26044620142518005,0.2603951219276544,515409.2423728557,6869201.07560679,1.057776979397096,-4.386307688464493
Groningen,0.26044620142518005,0.26156707433585735,732482.2494197398,7023870.467125853,0.9795102303792085,-4.647379929722838
Middelburg,0.26044620142518005,0.24224522692302144,401863.36176371813,6710576.735641695,1.0892130343058342,-4.16232733661678
Arnhem,0.26044620142518005,0.26042516067774124,659345.3439685586,6797955.991249009,0.9846278774855004,-4.363926102322372
Assen,0.26044620142518005,0.2610400913446498,729142.6646959418,6982997.920389787,0.9760074917743722,-4.600066667308827
